fine_dust,O3,region,heavy_metal,traffic,num_of_factories,num_of_power_plants,num_of_people,household_waste_discharge_per_person (kg/days),wind_speed,wind_direction,rainfall(mm),C,avg_O3,avg_fine_dust
0,1,부산광역시동래구,0.681,36.8,98 ,0,270745 ,0.9,3.763333,-12.6015,59.4,15.7,0.03,40.99583
0,0,부산광역시부산진구,0.681,38,143 ,0,359886 ,1.1,3.763333,-12.6015,59.4,15.7,0.025,42.565
0,1,부산광역시북 구,0.5347,38.2,66 ,0,283952 ,1.1,3.763333,-12.6015,59.4,15.7,0.032,39.81333
1,0,부산광역시사상구,1.1884,40.7,1916 ,0,212586 ,1.5,3.763333,-12.6015,59.4,15.7,0.025,45.50942
0,0,부산광역시사하구,0.7594,37.7,1433 ,0,311757 ,1.4,3.763333,-12.6015,59.4,15.7,0.029,41.19917
0,1,부산광역시서 구,0.681,37,110 ,0,108135 ,1.3,3.763333,-12.6015,59.4,15.7,0.033,41.445
0,1,부산광역시수영구,0.6217,42.9,47 ,0,176894 ,1,3.763333,-12.6015,59.4,15.7,0.032,41.27677
0,0,부산광역시연제구,0.7594,40.5,92 ,0,209157 ,1,3.763333,-12.6015,59.4,15.7,0.028,39.28967
0,1,부산광역시영도구,0.7594,37.6,668 ,0,113342 ,1.2,3.763333,-12.6015,59.4,15.7,0.042,34.47533
0,0,부산광역시중 구,0.7594,77.5,34 ,0,41523 ,2,3.763333,-12.6015,59.4,15.7,0.029,39.684
0,1,부산광역시해운대구,0.7594,36.2,232 ,0,402169 ,1.1,3.763333,-12.6015,59.4,15.7,0.36,34.1655
1,0,서울특별시강남구,0.9742,34.2,224 ,0,539231 ,1.3,3.553333,-40.124,64.28333,13.7,0.022,48.63703
1,0,서울특별시강동구,0.9742,36.3,81 ,0,459970 ,0.8,3.553333,-40.124,64.28333,13.7,0.02,51.86978
1,0,서울특별시강북구,0.9742,39.9,95 ,0,308055 ,0.8,3.553333,-40.124,64.28333,13.7,0.022,51.60807
1,0,서울특별시강서구,0.9742,37.7,673 ,0,580185 ,0.9,3.553333,-40.124,64.28333,13.7,0.022,53.20235
0,0,서울특별시관악구,0.9742,33.5,58 ,0,495060 ,0.8,3.553333,-40.124,64.28333,13.7,0.02,41.63903
1,0,서울특별시광진구,0.9742,34.8,143 ,0,346682 ,1,3.553333,-40.124,64.28333,13.7,0.019,43.35727
1,0,서울특별시구로구,0.9285,38,1142 ,0,404408 ,0.8,3.553333,-40.124,64.28333,13.7,0.026,50.06644
1,0,서울특별시금천구,0.9285,38.1,3627 ,0,231733 ,1.2,3.553333,-40.124,64.28333,13.7,0.018,52.46457
1,0,서울특별시노원구,0.9285,34.5,123 ,0,523037 ,0.8,3.553333,-40.124,64.28333,13.7,0.02,48.97822
0,0,서울특별시도봉구,0.9285,35.3,125 ,0,325257 ,0.9,3.553333,-40.124,64.28333,13.7,0.025,41.11459
1,0,서울특별시동대문구,0.9285,34.1,201 ,0,342837 ,1.3,3.553333,-40.124,64.28333,13.7,0.021,45.15066
1,0,서울특별시동작구,0.9285,31.4,37 ,0,391220 ,0.8,3.553333,-40.124,64.28333,13.7,0.018,50.02239
1,0,서울특별시마포구,0.9325,34.5,90 ,0,371890 ,1,3.553333,-40.124,64.28333,13.7,0.019,46.09744
0,0,서울특별시서대문구,0.9325,34.3,55 ,0,312173 ,0.9,3.553333,-40.124,64.28333,13.7,0.024,40.61098
1,0,서울특별시서초구,0.9375,34.6,205 ,0,425126 ,1.2,3.553333,-40.124,64.28333,13.7,0.028,49.87903
1,0,서울특별시성동구,0.9375,37.5,1384 ,0,293556 ,1,3.553333,-40.124,64.28333,13.7,0.022,46.16256
1,0,서울특별시성북구,0.9375,33,91 ,0,437153 ,0.8,3.553333,-40.124,64.28333,13.7,0.021,46.619
0,0,서울특별시송파구,0.9376,34.9,439 ,0,667960 ,1.1,3.553333,-40.124,64.28333,13.7,0.019,42.9732
1,0,서울특별시양천구,0.9376,34.7,118 ,0,454251 ,0.9,3.553333,-40.124,64.28333,13.7,0.02,50.79228
1,0,서울특별시영등포구,0.9376,36.2,851 ,0,379480 ,1.2,3.553333,-40.124,64.28333,13.7,0.02,46.68843
1,0,서울특별시용산구,0.9376,32.1,72 ,0,230040 ,1.3,3.553333,-40.124,64.28333,13.7,0.02,49.83833
1,0,서울특별시은평구,0.9376,34.2,75 ,0,479835 ,0.8,3.553333,-40.124,64.28333,13.7,0.025,44.20703
1,0,서울특별시종로구,0.9376,32.7,168 ,0,149384 ,1.8,3.553333,-40.124,64.28333,13.7,0.019,46.83483
1,0,서울특별시중 구,0.9376,37.9,1148 ,0,125240 ,2.9,3.553333,-40.124,64.28333,13.7,0.02,50.79526
1,0,서울특별시중랑구,0.9376,37.1,372 ,0,394702 ,0.9,3.553333,-40.124,64.28333,13.7,0.019,45.17893
0,1,울산광역시남 구,1.1989,34.4,558 ,0,320064 ,1.3,3.763333,-12.6015,50.93333,14.9,0.033,39.49968
0,1,울산광역시동 구,1.1398,31.7,22 ,0,156806 ,1.4,3.763333,-12.6015,50.93333,14.9,0.031,35.53156
0,0,울산광역시북 구,0.7445,36.7,657 ,0,219014 ,1.2,3.763333,-12.6015,50.93333,14.9,0.027,41.83646633
0,1,울산광역시울주군,0.8269,42.1,1641 ,0,222538 ,1.3,3.763333,-12.6015,50.93333,14.9,0.031,36.30002
0,1,울산광역시중 구,0.7445,32.9,77 ,0,217595 ,0.8,3.763333,-12.6015,50.93333,14.9,0.031,36.10801
0,1,인천광역시강화군,0.4148,50.9,234 ,0,69203 ,1.2,3.63,-62.1675,48.05,13.4,0.032,41.40527
1,0,인천광역시계양구,0.6148,51.8,516 ,0,296750 ,1.1,3.63,-62.1675,54.31667,13.4,0.029,45.85399
1,0,인천광역시남동구,0.7113,39.8,5152 ,0,525354 ,0.9,3.63,-62.1675,54.31667,13.4,0.021,47.3205
1,0,인천광역시동 구,0.6148,39.9,229 ,0,62542 ,0.9,3.63,-62.1675,54.31667,13.4,0.025,47.62343
1,0,인천광역시미추홀구,0.7113,38.6,956 ,0,404343 ,0.8,3.63,-62.1675,54.31667,13.4,0.025,45.6914
1,0,인천광역시부평구,0.7269,35.7,1421 ,0,494962 ,0.8,3.63,-62.1675,54.31667,13.4,0.023,48.73826
1,0,인천광역시서 구,0.6148,38.2,3667 ,0,542040 ,1.6,3.63,-62.1675,54.31667,13.4,0.028,48.09917
1,0,인천광역시연수구,0.6148,36.6,294 ,0,387450 ,0.6,3.63,-62.1675,54.31667,13.4,0.024,46.23811
1,1,인천광역시옹진군,0.6148,26.8,24 ,6,20455 ,0.9,3.63,-62.1675,41.78333,13.4,0.041,43.53275
1,0,인천광역시중 구,0.7113,49.1,148 ,0,139729 ,1.8,3.63,-62.1675,54.31667,13.4,0.027,51.75451
0,1,전라남도강진군,0.0958,42.5,163 ,0,34597 ,0.9,4.86,87.85458,50.33333,14.8,0.039,34.6
0,0,전라남도고흥군,0.4158,38.7,213 ,0,63922 ,1.1,4.86,87.85458,45.73333,14.3,0.029,34
0,0,전라남도곡성군,0.0958,41.2,111 ,0,28039 ,1.7,4.86,87.85458,53.51667,13.5,0.029,39.83333333
0,1,전라남도광양시,0.4158,39.5,580 ,0,151769 ,1.5,4.86,87.85458,47.18333,15.5,0.033,37.66666667
0,1,전라남도구례군,0.4158,39.1,59 ,0,25719 ,2.4,4.86,87.85458,53.51667,13.5,0.031,38.33333333
0,1,전라남도나주시,0.0958,38.8,692 ,0,115613 ,1,4.86,87.85458,44.61667,15.5,0.037,34.33333333
1,0,전라남도담양군,0.0958,42.7,636 ,0,46280 ,1.3,4.86,87.85458,44.61667,14,0.021,45.66666667
1,0,전라남도목포시,0.0958,36.8,420 ,0,224044 ,1.2,4.86,87.85458,46.21667,15.5,0.022,45.16666667
1,1,전라남도무안군,0.0958,39,305 ,0,86132 ,1.4,4.86,87.85458,43.48333,14,0.034,46
0,1,전라남도보성군,0.4158,55,186 ,0,40482 ,1.2,4.86,87.85458,57.51667,15,0.032,40.5
0,1,전라남도순천시,0.4158,38.3,652 ,1,282189 ,1.1,4.86,87.85458,53.51667,13.5,0.034,36.2
0,1,전라남도신안군,0.0958,35,71 ,0,38938 ,1.7,4.86,87.85458,47.35,13.9,0.044,37
0,0,전라남도여수시,0.4158,38.6,649 ,3,280242 ,1.9,4.86,87.85458,47.41667,15.7,0.018,32.5
1,1,전라남도영광군,0.0958,38.2,232 ,0,53099 ,0.9,4.86,87.85458,47.96667,14,0.039,44.5
0,1,전라남도영암군,0.0958,47.9,506 ,0,53699 ,1.8,4.86,87.85458,43.48333,14,0.032,34
0,1,전라남도완도군,0.0958,34.4,276 ,0,49916 ,1.6,4.86,87.85458,62.53333,15.6,0.03,32.5
0,0,전라남도장성군,0.0958,41.2,522 ,0,44464 ,1.5,4.86,87.85458,44.61667,14,0.029,41.66666667
0,1,전라남도장흥군,0.4158,39.1,174 ,0,37800 ,1.2,4.86,87.85458,52.2,14.2,0.039,37
0,1,전라남도진도군,0.0958,36.2,95 ,0,31227 ,1.7,4.86,87.85458,57.48333,13.9,0.033,39.16666667
1,0,전라남도함평군,0.0958,39.1,258 ,0,32050 ,1.3,4.86,87.85458,44.61667,14,0.026,45.83333333
0,1,전라남도해남군,0.0958,37.7,411 ,0,68806 ,1.7,4.86,87.85458,43.48333,13.9,0.037,38.33333333
0,0,전라남도화순군,0.0958,51.4,322 ,0,62522 ,1.2,4.86,87.85458,52.2,14,0.025,34.16666667
0,1,전라북도고창군,0.3531,38,188 ,0,54529 ,1.2,4.711667,-71.0683,33.36667,14,0.037,41.6
1,0,전라북도군산시,0.3531,39.2,1195 ,0,267859 ,1.8,4.711667,-71.0683,39.63333,13.9,0.021,50
1,1,전라북도김제시,0.3531,35.9,838 ,0,82450 ,2.3,4.711667,-71.0683,40.1,14.6,0.032,50.83333333
0,1,전라북도남원시,0.3531,39.6,371 ,0,80662 ,1.4,4.711667,-71.0683,40.5,13.4,0.03,36.83333333
